"CONSULTAS",0,"T",1000
"Consulta",1,"H",1
"Consulta dia feriado",1,"H",2
"Consulta a domicilio",1,"H",3
"Consulta de urgencia",1,"H",253
"OPERATORIA DENTAL",0,"T",1000
"Base cavitaria Hidroxido de Calcio",1,"H",138
"Base cavitaria Fosfato de Zinc",1,"H",139
"Base cavitaria ionomero vitreo",1,"H",140
"Restauracion provisoria",1,"H",4
"Amalgama simple",1,"H",5
"Amalgama compleja",1,"H",6
"Resina simple anterior",1,"H",7
"Resina simple posterior",1,"H",203
"Resina compleja anterior",1,"H",8
"Resina compleja posterior",1,"H",204
"Ionomero Cav.simple",1,"H",9
"Ionomero Cav.Compuesta",1,"H",10
"Compomero Cav.simple",1,"H",11
"Compomero Cav.Compuesta",1,"H",12
"Reconst.angulo c/amalgama",1,"H",13
"Reconst.angulo c/resina",1,"H",14
"Reconst.amalgama c/tornillo",1,"H",15
"Reconst.resina c/tornillo",1,"H",16
"Incrustacion resina",1,"H",17
"Incrustacion porcelana",1,"H",18
"Incrustacion metalica",1,"H",19
"Incrustacion oro",1,"H",20
"Incrust.a perno con oro",1,"H",21
"Incrust.a perno otro metal",1,"H",22
"Carilla resina",1,"H",23
"Carilla porcelana",1,"H",24
"Tratamiento con laser operatoria",1,"H",250
"ENDODONCIA",0,"T",1000
"Proteccion pulpar indirecta",1,"H",29
"Proteccion pulpar directa",1,"H",30
"Pulpotomia",1,"H",31
"T.C. unirradicular",1,"H",32
"T.C. birradicular",1,"H",33
"T.C. multirradicular",1,"H",34
"Retrat.unirradicular",1,"H",254
"Retrat.birradicular",1,"H",255
"Retrat.multirradicular",1,"H",256
"Neoformacion apical",1,"H",226
"Tratamiento con laser endodoncia",1,"H",251
"PROTESIS CONVENCIONAL",0,"T",1000
"Perno provisorio",1,"H",25
"Perno simple",1,"H",26
"Perno seccionado",1,"H",27
"Perno preformado",1,"H",28
"Perno pasante",1,"H",202
"Perno articulado",1,"H",258
"Corona resina",1,"H",35
"Corona resina/metal",1,"H",36
"Corona acrilico",1,"H",37
"Corona porcelana",1,"H",38
"Corona porc/metal",1,"H",39
"Corona porc/aleac/oro",1,"H",40
"Corona veneer res/metal",1,"H",41
"Corona veneer res/oro",1,"H",42
"Corona veneer porc/metal",1,"H",43
"Corona veneer porc/aleac/oro",1,"H",44
"Corona colada metal",1,"H",45
"Corona colada en oro",1,"H",46
"Corona de acero",1,"H",47
"Corona provisoria",1,"H",48
"Corona Ceromero",1,"H",262
"Tramo Puente Resina",1,"H",194
"Tramo Puente Porcelana",1,"H",195
"Tramo Puente met/resina",1,"H",49
"Tramo Puente acrilico",1,"H",50
"Tramo Puente porcelana/metal",1,"H",51
"Tramo Puente porcelana/aleac/oro",1,"H",52
"Tramo Puente provisorio",1,"H",53
"Tramo Puente Ceromero",1,"H",263
"Remov.acril. h/4 piezas",1,"H",54
"Remov.acril. + 4 piezas",1,"H",55
"Remov.CrCo h/4 piezas",1,"H",56
"Remov.CrCo + 4 piezas",1,"H",57
"Removible provisoria",1,"H",58
"Completa superior acrilico",1,"H",59
"Completa superior resina",1,"H",207
"Completa superior porcelana",1,"H",208
"Completa inferior acrilico",1,"H",60
"Completa inferior resina",1,"H",209
"Completa inferior porcelana",1,"H",210
"Parcial inmediata acrilico",1,"H",61
"Parcial inmediata resina",1,"H",211
"Parcial inmediata porcelana",1,"H",212
"Completa inmediata acrilico",1,"H",62
"Completa inmediata resina",1,"H",213
"Completa inmediata porcelana",1,"H",214
"Prot.adhesiva en resina",1,"H",63
"Prot.adhesiva en porcelana",1,"H",64
"Ferulizacion resina",1,"H",65
"Ferulizacion porcelana",1,"H",66
"Ferulizacion oro",1,"H",67
"Ferulizacion metal",1,"H",68
"Atache",1,"H",181
"Retenedor",1,"H",182
"Registro de oclusion",1,"H",183
"Toma de impresion",1,"H",184
"Placa interoclusal estabilizadora",1,"H",205
"Placa interoclusal reposicionadora",1,"H",206
"Rebasado de protesis",1,"H",185
"Compostura simple",1,"H",70
"Compostura con impresion",1,"H",71
"Agregado diente o retenedor",1,"H",72
"Agregado de subsiguiente",1,"H",73
"Retiro definitivo corona",1,"H",74
"Retiro definitivo puente",1,"H",75
"Acondicionamiento de tejidos",1,"H",76
"Supraestructura Recta",1,"H",187
"Supraestructura angular",1,"H",188
"Supraestructura Ball atach",1,"H",189
"Overdenture metal",1,"H",190
"Overdenture aleacion oro",1,"H",191
"Barra colada",1,"H",192
"Barra Dolder",1,"H",193
"Pilar implante subperiostico",1,"H",186
"Blanqueo dentario en consultorio",1,"H",69
"Blanqueo dentario c/cubeta",1,"H",201
"Blanqueo dentario ambulatorio",1,"H",215
"Retencion Ball atach",1,"H",196
"Retencion imanes",1,"H",197
"PROTESIS SOBRE IMPLANTES",0,"T",1000
"Corona porcelana s/implante",1,"H",231
"Corona porcelana/metal s/implante",1,"H",232
"Corona porcelana/oro s/implante",1,"H",233
"Tramo puente porcelana s/implante",1,"H",234
"Tramo puente porcelana/metal s/implante",1,"H",235
"Tramo puente porcelana/oro s/implante",1,"H",236
"Tramo puente ceromero s/implante",1,"H",264
"PROTESIS PORCELANA INYECTADA",0,"T",1000
"Incrustacion porcelana inyectada",1,"H",237
"Corona porcelana inyectada",1,"H",238
